tanaman,gejala,manfaat,efek_samping,referensi
Ciplukan (Physalis angulata),"nyeri sendi, hipertensi, gangguan imun, peradangan","antiinflamasi, imunomodulator, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43.; Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179."
Sirih Cina (Peperomia pellucida),"peradangan, nyeri sendi, radikal bebas, infeksi bakteri","antioksidan, antiinflamasi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36.; Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141."
Ciplukan (Physalis angulata),"nyeri sendi, radikal bebas","antiinflamasi, antihipertensi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43."
Sirih Cina (Peperomia pellucida),"radikal bebas, infeksi bakteri, nyeri sendi","antimikroba, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127.; Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141."
Ciplukan (Physalis angulata),"stres oksidatif, radikal bebas","imunomodulator, antihipertensi","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179."
Sirih Cina (Peperomia pellucida),"radikal bebas, peradangan, nyeri otot, nyeri sendi","analgesik, antioksidan, antimikroba","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Putra, I. G. N. T. M., & Astuti, N. M. W. (2023). Studi kandungan fitokimia, aktivitas antioksidan, dan toksisitas ciplukan (Physalis angulata L.). COMSERVA: Jurnal Penelitian dan Pengabdian Masyarakat, 3(06), 2168-2179.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36."
Ciplukan (Physalis angulata),"radikal bebas, gangguan imun","antihipertensi, antioksidan","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Fadhli, H., et al. (2023). Ciplukan (Physalis angulata L.): Review tanaman liar yang berpotensi sebagai tanaman obat. JFI Online, 15(2), 134-141.; Kartika, I. G. A. A., et al. (2016). Traditional uses, phytochemical and pharmacological review of Peperomia pellucida. Pharmacologyonline, 2, 30-43.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127."
Sirih Cina (Peperomia pellucida),"peradangan, infeksi bakteri","antimikroba, antioksidan, analgesik","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127."
Ciplukan (Physalis angulata),"gangguan imun, stres oksidatif","antioksidan, antidiabetes","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Puspitasari, I., Sari, G. N. F., & Indrayati, A. (2021). Pemanfaatan tanaman obat keluarga (TOGA) sebagai alternatif pengobatan mandiri. Jurnal Warta LPM, 24(3), 456-465.; Laia, I. S. (2022). Pemanfataan Ciplukan (Physalis Angulata) Sebagai Tanaman Obat Hipertensi Di Desa Mohilikecamatan Amandraya Kabupaten Nias Selatan. FAGURU: Jurnal Ilmiah Mahasiswa Keguruan, 1(2), 119-127."
Sirih Cina (Peperomia pellucida),"nyeri sendi, infeksi bakteri","antioksidan, antimikroba","Efek samping jarang dilaporkan, namun konsumsi berlebihan berpotensi menyebabkan gangguan pencernaan ringan.","Salim, Z., & Munadi, E. (2017). Tanaman Obat. Badan Pengkajian dan Pengembangan Perdagangan Kementerian Perdagangan Republik Indonesia.; Devitria, R. (2020). Uji Aktivitas Antioksidan Ekstrak Metanol Daun Ciplukan menggunakan Metode DPPH. Jurnal Penelitian Farmasi Indonesia, 9(1), 31-36."
